factor_name,return_ic_mean,return_ic_abs_mean,return_ic_volatility,return_ic_t_stat,abs_stability_score,return_predictive_score,risk_predictive_score,risk_ic_mean,risk_ic_volatility,weight_volatility,risk_weight_volatility,average_return_fold_weight,average_risk_fold_weight,current_weight,optimized_return_weight,optimized_risk_weight,constrained_blended_weight,data_big_loss_corr,final_stability_rank
overseas_market_momentum,0.1534030376285182,0.18032325632246454,0.14976354217130122,53.73435879552579,1.2040530859783998,1.024301604917654,0.7013754202095106,0.09312992346167143,0.13278184560912729,0.08196697590587648,0.052748443087449054,0.19660729070270594,0.15202437262647003,0.12,0.25,0.14941849947459362,0.23105706221839342,0.08418811430878312,1
overseas_volatility_pressure,0.0824066825524337,0.12952238404381994,0.1351744318101403,31.9810039572124,0.9581869984669441,0.6096321681495663,0.6922481186928172,0.09516565972876077,0.13747333718467222,0.07472749244512746,0.07772711479143167,0.13154609824088223,0.14794389676114625,0.08,0.09999999999999998,0.20058150052540635,0.07673500225554063,0.10653348868819769,2
equity_index_futures_basis,0.04261438365417028,0.11036458527652761,0.1296376153717085,17.244451790446963,0.8513314913171532,0.32871927799090755,0.4738056417639816,0.060532667386107575,0.12775843421141717,0.09252926786668408,0.07937073559807864,0.16258540415415298,0.14146718485354648,0.15,0.25,0.15583400487128957,0.25,0.06697767859866317,3
etf_flow_proxy,0.026404066885154003,0.10647960551354793,0.13348328674353788,10.376912323030595,0.7976999017144959,0.19780803523422552,0.0,-0.014588465054366895,0.11840480112595424,0.04481173270773556,0.02955222386440664,0.05504098284813053,0.06354024493161853,0.1,0.10752186343644538,0.06456741138399348,0.09355568282806695,-0.011598179779756902,4
margin_balance_momentum,0.026391421248905953,0.10647198452213374,0.13347323857987461,10.372723356380906,0.797702856821854,0.19772818380655616,0.0,-0.014590523453722172,0.11841106908729081,0.04509517332477647,0.023938132045864324,0.05366853439379156,0.0529550096681794,0.1,0.04247813656355461,0.058774801398494475,0.056444317171933045,-0.011602992867048823,5
ashare_breadth_proxy,0.002003973841209248,0.09061662858444204,0.11256392885176479,0.9339357929017744,0.805023675912656,0.01780298399183715,0.08965580591295695,0.012259979248410326,0.13674495515278975,0.10514319655855742,0.06100466064113586,0.11718409612810682,0.14601031514537216,0.09,0.13982114407196042,0.1283577734709282,0.12050497885573061,0.004808649437156091,6
ashare_turnover_momentum,0.0019525369006072341,0.09416542923572971,0.11360380598972566,0.9016346296229595,0.8288932539403898,0.017187248846192466,0.03722304155808261,0.004733460389868299,0.12716479241115194,0.09168722386648433,0.06281467534967695,0.09993396113576686,0.09398780585780335,0.06,0.09451018876262512,0.07729593203116925,0.05406628378344575,0.010286714612947338,7
futures_open_interest_momentum,-0.013205640823211122,0.11158050460660046,0.13675674611934374,-5.065647162833233,0.8159049330796624,0.0,0.0,-0.01954029944087078,0.12982115579384593,0.0896870636285921,0.0439625836079736,0.08076788076827275,0.04239258953773907,0.1,0.0156686671647362,0.02876088767974183,0.04473195420344454,-0.019127847246240077,8
rates_change_5d,-0.031843376767537936,0.11692026275891686,0.14341137331927398,-11.648224585058243,0.8152788669232018,0.0,0.0,-0.010448891996258902,0.13641528349966167,0.023192323544774053,0.015685776478578158,0.02247636055566698,0.03606086613859007,0.1,0.0,0.03739736429412934,0.037650220830294165,-0.012723456148354025,8
yield_curve_slope,-0.03268949294927757,0.1085532307806174,0.12961143033180975,-13.230891124754908,0.8375282154142514,0.0,0.0,-0.007068586579625141,0.12875007860895568,0.09250801087571718,0.08379152587029219,0.08018939107184007,0.12361771447863633,0.1,0.0,0.0990118248692918,0.03525449785232217,-0.017583056306373756,8
