regime_type,regime,factor_name,sample_count,ic,hit_rate,failed_in_regime,effective_in_regime
volatility_regime,normal realized volatility,ashare_turnover_momentum,201,-0.09463187649916358,0.45595854922279794,True,False
stress_regime,drawdown > threshold,equity_index_futures_basis,294,-0.08445717484200269,0.5208333333333334,True,False
stress_regime,drawdown > threshold,futures_open_interest_momentum,294,0.10660207668206738,0.5520833333333334,False,True
stress_regime,drawdown > threshold,rates_change_5d,294,-0.07400212037633723,0.4618055555555556,True,False
stress_regime,drawdown > threshold,yield_curve_slope,294,-0.11397086431844623,0.5034722222222222,True,False
stress_regime,drawdown > threshold,etf_flow_proxy,294,0.06386924038679544,0.5555555555555556,False,True
stress_regime,drawdown > threshold,margin_balance_momentum,294,0.06387149283336609,0.5555555555555556,False,True
stress_regime,drawdown > threshold,overseas_market_momentum,294,0.12061944865997962,0.5306122448979592,False,True
stress_regime,drawdown > threshold,overseas_volatility_pressure,294,0.12126387962415545,0.5306122448979592,False,True
stress_regime,drawdown > threshold,ashare_breadth_proxy,294,0.032761990999380146,0.5157894736842106,False,False
stress_regime,drawdown > threshold,ashare_turnover_momentum,294,0.08335658218849037,0.5486111111111112,False,True
stress_regime,no stress,equity_index_futures_basis,430,0.07946301805711847,0.5083932853717026,False,False
stress_regime,no stress,futures_open_interest_momentum,430,0.06535643207412949,0.5314009661835749,False,True
stress_regime,no stress,rates_change_5d,430,0.09896452676582362,0.5,True,False
stress_regime,no stress,yield_curve_slope,430,-0.05669060737261968,0.5107913669064749,True,False
stress_regime,no stress,etf_flow_proxy,430,0.009216038346029048,0.4855072463768116,True,False
stress_regime,no stress,margin_balance_momentum,430,0.009066132724317342,0.4855072463768116,True,False
stress_regime,no stress,overseas_market_momentum,430,0.0897167010406854,0.5257009345794392,False,True
stress_regime,no stress,overseas_volatility_pressure,430,0.029587835234614814,0.5116822429906542,False,False
stress_regime,no stress,ashare_breadth_proxy,430,-0.05569787392467121,0.44471153846153844,True,False
stress_regime,no stress,ashare_turnover_momentum,430,0.029052850170861295,0.4806763285024155,True,False
overseas_regime,neutral,equity_index_futures_basis,354,0.055072717730311804,0.5072463768115942,False,False
overseas_regime,neutral,futures_open_interest_momentum,354,0.09175591709738073,0.5203488372093024,False,True
overseas_regime,neutral,rates_change_5d,354,-0.01734964505573444,0.4941860465116279,True,False
overseas_regime,neutral,yield_curve_slope,354,-0.11575157873554202,0.4985507246376812,True,False
overseas_regime,neutral,etf_flow_proxy,354,-0.039182946659994715,0.4622093023255814,True,False
overseas_regime,neutral,margin_balance_momentum,354,-0.039129928818056686,0.4622093023255814,True,False
overseas_regime,neutral,overseas_market_momentum,354,0.06377863317562621,0.5340909090909091,False,True
overseas_regime,neutral,overseas_volatility_pressure,354,0.08144325902337102,0.5255681818181818,False,True
overseas_regime,neutral,ashare_breadth_proxy,354,0.05304666265285953,0.478134110787172,True,False
overseas_regime,neutral,ashare_turnover_momentum,354,0.009179802129077074,0.4941860465116279,True,False
overseas_regime,overseas risk-off,equity_index_futures_basis,206,-0.03199314247126628,0.5223880597014925,True,False
overseas_regime,overseas risk-off,futures_open_interest_momentum,206,0.04066102856693268,0.545,False,True
overseas_regime,overseas risk-off,rates_change_5d,206,0.000242685333274564,0.45,True,False
overseas_regime,overseas risk-off,yield_curve_slope,206,0.011768453902663085,0.4925373134328358,True,False
overseas_regime,overseas risk-off,etf_flow_proxy,206,0.02912441503525974,0.56,False,False
overseas_regime,overseas risk-off,margin_balance_momentum,206,0.02882943897276312,0.56,False,False
overseas_regime,overseas risk-off,overseas_market_momentum,206,0.11597341528837844,0.5388349514563107,False,True
overseas_regime,overseas risk-off,overseas_volatility_pressure,206,0.1235197871412126,0.5388349514563107,False,True
overseas_regime,overseas risk-off,ashare_breadth_proxy,206,-0.07192840612505216,0.475,True,False
overseas_regime,overseas risk-off,ashare_turnover_momentum,206,0.031767898215767816,0.525,False,True
overseas_regime,overseas risk-on,equity_index_futures_basis,164,0.03205228176265971,0.5157232704402516,False,False
overseas_regime,overseas risk-on,futures_open_interest_momentum,164,0.1294649681316797,0.5759493670886076,False,True
overseas_regime,overseas risk-on,rates_change_5d,164,0.12333304679052728,0.5063291139240507,False,False
overseas_regime,overseas risk-on,yield_curve_slope,164,-0.01974436528721436,0.5471698113207547,True,False
overseas_regime,overseas risk-on,etf_flow_proxy,164,0.19946143269708794,0.569620253164557,False,True
overseas_regime,overseas risk-on,margin_balance_momentum,164,0.1995060390207726,0.569620253164557,False,True
overseas_regime,overseas risk-on,overseas_market_momentum,164,0.1922650825596552,0.5,True,False
overseas_regime,overseas risk-on,overseas_volatility_pressure,164,-0.030186294520044794,0.4817073170731707,True,False
overseas_regime,overseas risk-on,ashare_breadth_proxy,164,-0.11440285443484546,0.4620253164556962,True,False
overseas_regime,overseas risk-on,ashare_turnover_momentum,164,0.1560417990548569,0.5189873417721519,False,False
