bucket,sample_count,next_day_avg_return,next_day_median_return,direction_hit_rate,direction_hit_rate_ci,worst_next_day_return,best_next_day_return,big_loss_rate
score <= -0.70,4,0.007172112381286233,0.00776062883940265,0.5,"{'successes': 2, 'total': 4, 'rate': 0.5, 'lower': 0.15003570882017145, 'upper': 0.8499642911798285}",-0.00824791010487158,0.021415101951211213,0.0
-0.70 < score <= -0.35,185,-0.00394783346491444,-0.0018358935122835263,0.5891891891891892,"{'successes': 109, 'total': 185, 'rate': 0.5891891891891892, 'lower': 0.5171807043450477, 'upper': 0.6575689270920932}",-0.07880901060173484,0.03289740979857925,0.14594594594594595
-0.35 < score < 0.35,2278,0.0003541469132946385,0.00039126158272539957,0.5175592625109745,"{'successes': 1179, 'total': 2278, 'rate': 0.5175592625109745, 'lower': 0.497026776419699, 'upper': 0.5380326247236581}",-0.08747704438679538,0.059472676002712666,0.07243195785776997
0.35 <= score < 0.70,176,0.0021972684032041862,-3.5889452298210056e-05,0.5,"{'successes': 88, 'total': 176, 'rate': 0.5, 'lower': 0.4269229517568074, 'upper': 0.5730770482431926}",-0.04299346640403301,0.08482622266273232,0.045454545454545456
score >= 0.70,3,0.005400234923978675,0.0019089007922195034,0.6666666666666666,"{'successes': 2, 'total': 3, 'rate': 0.6666666666666666, 'lower': 0.20765495512648788, 'upper': 0.9385096847238393}",-0.0005128938805177841,0.014804697860234306,0.0
